episode,accuracy,reward,steps,predictions,avg_confidence,avg_prediction_time_ms,duration_seconds
1,0.97245,18898,20000,20000,0.3329303467337042,0.19939662218093873,4.062870264053345
2,0.97245,18898,20000,20000,0.3329303467337042,0.1964040994644165,4.002939939498901
3,0.97245,18898,20000,20000,0.3329303467337042,0.19685527086257934,4.011912822723389
4,0.97245,18898,20000,20000,0.3329303467337042,0.19733167886734007,4.022413492202759
5,0.97245,18898,20000,20000,0.3329303467337042,0.19654359817504882,4.006173133850098
6,0.97245,18898,20000,20000,0.3329303467337042,0.19665483236312867,4.008217096328735
7,0.97245,18898,20000,20000,0.3329303467337042,0.19712709188461305,4.0179126262664795
8,0.97245,18898,20000,20000,0.3329303467337042,0.19702258110046386,4.015596866607666
9,0.97245,18898,20000,20000,0.3329303467337042,0.19683196544647216,4.011145830154419
10,0.97245,18898,20000,20000,0.3329303467337042,0.19768035411834717,4.028882265090942
11,0.97245,18898,20000,20000,0.3329303467337042,0.19765335321426392,4.028760194778442
12,0.97245,18898,20000,20000,0.3329303467337042,0.19754650592803955,4.027338981628418
13,0.97245,18898,20000,20000,0.3329303467337042,0.2004411816596985,4.086012601852417
14,0.97245,18898,20000,20000,0.3329303467337042,0.19737045764923095,4.022768020629883
15,0.97245,18898,20000,20000,0.3329303467337042,0.19716655015945433,4.018816232681274
