episode,accuracy,reward,steps,predictions,avg_confidence,avg_prediction_time_ms,duration_seconds
1,0.97315,18926,20000,20000,0.3332155654150993,0.20854787826538088,4.248720407485962
2,0.97315,18926,20000,20000,0.3332155654150993,0.21160985231399537,4.312115669250488
3,0.97315,18926,20000,20000,0.3332155654150993,0.21343647241592406,4.349011659622192
4,0.97315,18926,20000,20000,0.3332155654150993,0.20560678243637084,4.189809083938599
5,0.97315,18926,20000,20000,0.3332155654150993,0.2059323310852051,4.1959075927734375
6,0.97315,18926,20000,20000,0.3332155654150993,0.210844361782074,4.297131061553955
7,0.97315,18926,20000,20000,0.3332155654150993,0.213333261013031,4.347629070281982
8,0.97315,18926,20000,20000,0.3332155654150993,0.20683073997497559,4.214421033859253
9,0.97315,18926,20000,20000,0.3332155654150993,0.20424063205718992,4.161807537078857
10,0.97315,18926,20000,20000,0.3332155654150993,0.2026563048362732,4.128681421279907
11,0.97315,18926,20000,20000,0.3332155654150993,0.2035907506942749,4.148303031921387
12,0.97315,18926,20000,20000,0.3332155654150993,0.20474779605865479,4.173498153686523
13,0.97315,18926,20000,20000,0.3332155654150993,0.20293757915496827,4.136210918426514
14,0.97315,18926,20000,20000,0.3332155654150993,0.20238637924194336,4.123674392700195
15,0.97315,18926,20000,20000,0.3332155654150993,0.2038622498512268,4.15441107749939
